CUSTOMER_NUMBER,FREQUENT_ORDER_TYPE,FIRST_DELIVERY_DATE,ON_BOARDING_DATE,COLD_DRINK_CHANNEL,TRADE_CHANNEL,SUB_TRADE_CHANNEL,LOCAL_MARKET_PARTNER,CO2_CUSTOMER,ZIP_CODE
500395546,SALES REP,5/26/2017,5/10/2017,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,TRUE,1509
600080668,SALES REP,4/29/2016,7/18/2013,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,1109
501092132,SALES REP,6/16/2020,6/4/2020,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,1757
600079378,SALES REP,3/4/2016,5/28/2015,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,66946
600080425,SALES REP,3/9/2016,5/17/2012,DINING,COMPREHENSIVE DINING,FSR - MISC,FALSE,TRUE,2112
501408539,SALES REP,8/2/2022,7/14/2022,DINING,FAST CASUAL DINING,OTHER FAST FOOD,FALSE,TRUE,41003
501171305,SALES REP,2/4/2021,1/13/2021,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,41605
600079795,CALL CENTER,2/29/2016,1/6/2003,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,67952
600081009,SALES REP,8/29/2016,7/28/2009,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,67952
600079397,SALES REP,3/3/2016,5/29/2015,DINING,OTHER DINING & BEVERAGE,OTHER DINING,FALSE,TRUE,21664
501585129,SALES REP,12/19/2023,11/28/2023,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,1982
600075142,SALES REP,5/10/2016,1/11/2012,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,2559
501389465,SALES REP,6/22/2022,6/3/2022,GOODS,SPECIALIZED GOODS,OTHER GOODS,TRUE,FALSE,2559
501528191,MYCOKE360,7/7/2023,6/13/2023,WORKPLACE,INDUSTRIAL,OTHER INDUSTRIAL,TRUE,FALSE,1982
501706361,SALES REP,9/11/2024,9/5/2024,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,1885
600075368,MYCOKE LEGACY,3/2/2016,1/16/2014,WELLNESS,HEALTHCARE,OTHER HEALTHCARE,TRUE,FALSE,1885
500599294,SALES REP,5/31/2018,4/30/2018,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,42027
501264057,OTHER,10/21/2021,9/20/2021,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,FALSE,2667
501443241,OTHER,11/22/2022,10/19/2022,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,41651
501195233,SALES REP,4/23/2021,3/11/2021,GOODS,GENERAL RETAILER,HOME & HARDWARE,TRUE,FALSE,40070
600075138,SALES REP,3/15/2016,11/30/2011,WELLNESS,HEALTHCARE,OTHER HEALTHCARE,TRUE,FALSE,42027
600075119,SALES REP,3/4/2016,3/15/2011,DINING,FAST CASUAL DINING,MEXICAN FAST FOOD,TRUE,FALSE,1982
501264281,OTHER,10/26/2021,9/20/2021,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,FALSE,67073
501065367,SALES REP,4/10/2020,2/26/2020,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,40361
501593889,SALES REP,1/30/2024,12/29/2023,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,1504
501243184,SALES REP,9/15/2021,7/28/2021,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,42027
501676758,SALES REP,7/18/2024,6/27/2024,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,2141
600075400,SALES REP,3/4/2016,12/13/1994,PUBLIC SECTOR,ACCOMMODATION,OTHER ACCOMMODATION,TRUE,TRUE,1982
500823056,OTHER,2/6/2019,11/23/2018,DINING,FAST CASUAL DINING,ASIAN FAST FOOD,FALSE,FALSE,1885
600075104,SALES REP,3/1/2016,8/30/2010,PUBLIC SECTOR,PUBLIC SECTOR (NON-MILITARY),OTHER PUBLIC SECTOR,TRUE,FALSE,1982
501600323,SALES REP,2/5/2024,1/23/2024,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,67073
501702625,MYCOKE360,9/11/2024,8/27/2024,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,1885
501417055,SALES REP,8/16/2022,8/9/2022,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,40361
600075603,SALES REP,3/1/2016,12/3/2008,WELLNESS,HEALTHCARE,OTHER HEALTHCARE,TRUE,TRUE,42027
501472801,SALES REP,1/13/2023,12/19/2022,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,1349
600075710,SALES REP,3/3/2016,2/1/1984,PUBLIC SECTOR,ACADEMIC INSTITUTION,OTHER ACADEMIC INSTITUTION,FALSE,FALSE,67340
600075658,SALES REP,3/8/2016,1/10/2014,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,1349
600075945,SALES REP,2/27/2016,8/2/1995,PUBLIC SECTOR,ACADEMIC INSTITUTION,OTHER ACADEMIC INSTITUTION,FALSE,TRUE,67340
501401190,MYCOKE LEGACY,8/17/2022,6/23/2022,GOODS,GOURMET FOOD RETAILER,OTHER GOURMET FOOD,TRUE,FALSE,1436
500324849,SALES REP,2/21/2017,1/24/2017,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,TRUE,1945
600076099,SALES REP,8/29/2016,8/22/2008,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,TRUE,42565
501108396,SALES REP,7/27/2020,7/21/2020,WELLNESS,HEALTHCARE,OTHER HEALTHCARE,TRUE,FALSE,1349
501477891,SALES REP,3/8/2023,1/9/2023,DINING,FAST CASUAL DINING,OTHER FAST FOOD,TRUE,FALSE,1945
600081117,SALES REP,3/9/2016,3/11/2010,EVENT,RECREATION,RECREATION ARENA,TRUE,FALSE,42728
501109910,SALES REP,8/18/2020,7/27/2020,WELLNESS,HEALTHCARE,OTHER HEALTHCARE,TRUE,FALSE,66547
501092615,SALES REP,6/15/2020,6/5/2020,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,FALSE,67952
600080341,SALES REP,3/2/2016,6/20/2011,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,1509
501479249,OTHER,1/23/2023,1/13/2023,DINING,OTHER DINING & BEVERAGE,OTHER DINING,FALSE,FALSE,20643
501536747,SALES REP,8/14/2023,7/7/2023,GOODS,GENERAL RETAILER,HOME & HARDWARE,TRUE,FALSE,2742
600080791,SALES REP,3/7/2016,4/16/2014,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,41003
501652691,SALES REP,5/9/2024,5/2/2024,ACCOMMODATION,ACCOMMODATION,OTHER ACCOMMODATION,TRUE,TRUE,67120
600080350,OTHER,3/3/2016,6/23/2011,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,FALSE,67952
600080154,SALES REP,3/4/2016,3/10/2008,BULK TRADE,GENERAL,COMPREHENSIVE PROVIDER,FALSE,FALSE,21034
600080750,SALES REP,3/8/2016,3/6/2014,DINING,FAST CASUAL DINING,OTHER FAST FOOD,TRUE,FALSE,70787
501596051,SALES REP,1/19/2024,1/8/2024,DINING,FAST CASUAL DINING,OTHER FAST FOOD,TRUE,TRUE,66946
600080949,SALES REP,3/3/2016,6/4/2015,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,66101
501440313,SALES REP,10/13/2022,10/7/2022,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,21034
500638573,SALES REP,6/13/2018,6/5/2018,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,21723
500280071,SALES REP,5/5/2016,4/18/2016,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,66838
500824867,SALES REP,2/1/2019,11/29/2018,DINING,FAST CASUAL DINING,ASIAN FAST FOOD,FALSE,TRUE,41605
501106157,SALES REP,8/5/2020,7/14/2020,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,67120
600080353,SALES REP,3/2/2016,8/22/2011,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,2535
600080575,SALES REP,3/3/2016,1/18/2013,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,1340
600080879,SALES REP,3/30/2016,12/15/2014,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,2382
501643499,SALES REP,5/3/2024,4/18/2024,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,66946
600080439,SALES REP,3/3/2016,4/16/2012,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,FALSE,21664
600079451,SALES REP,3/23/2016,7/7/1992,PUBLIC SECTOR,PUBLIC SECTOR (NON-MILITARY),OTHER PUBLIC SECTOR,TRUE,TRUE,1742
500264908,SALES REP,2/29/2016,12/15/2015,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,21664
500246210,SALES REP,3/2/2016,10/16/2015,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,TRUE,67066
600080027,SALES REP,3/4/2016,11/29/2006,EVENT,RECREATION,RECREATION FILM,TRUE,TRUE,40517
501729085,MYCOKE360,11/6/2024,10/22/2024,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,FALSE,67110
600080047,CALL CENTER,4/25/2016,7/1/1990,PUBLIC SECTOR,EDUCATION,NON-RESTAURANT EDUCATION,TRUE,FALSE,41003
500798760,CALL CENTER,10/30/2018,10/10/2018,PUBLIC SECTOR,EDUCATION,NON-RESTAURANT EDUCATION,TRUE,FALSE,21754
600082814,SALES REP,3/3/2016,4/25/2014,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,2303
500980759,SALES REP,9/3/2019,8/8/2019,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,67649
501641376,SALES REP,4/12/2024,4/10/2024,DINING,FAST CASUAL DINING,SANDWICH FAST FOOD,TRUE,TRUE,42033
500743942,SALES REP,11/13/2018,8/28/2018,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,TRUE,21793
500987598,SALES REP,9/27/2019,8/19/2019,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,42701
600082383,SALES REP,3/4/2016,8/31/2010,PUBLIC SECTOR,PUBLIC SECTOR (NON-MILITARY),OTHER PUBLIC SECTOR,TRUE,FALSE,1203
600082537,SALES REP,2/29/2016,5/22/2012,GOODS,GENERAL RETAILER,BOOKS & OFFICE,TRUE,FALSE,20794
501724179,MYCOKE LEGACY,10/23/2024,10/8/2024,DINING,FAST CASUAL DINING,MEXICAN FAST FOOD,TRUE,FALSE,40410
500505944,SALES REP,4/4/2019,12/19/2017,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,20794
600082673,CALL CENTER,3/25/2016,4/23/2013,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,21505
501474905,SALES REP,2/10/2023,12/28/2022,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,41612
600082022,SALES REP,3/3/2016,10/9/1997,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,FALSE,TRUE,66757
600081619,SALES REP,2/29/2016,11/1/1988,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,FALSE,21793
501654037,SALES REP,7/24/2024,5/8/2024,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,67110
600080796,SALES REP,3/10/2016,5/29/2014,DINING,COMPREHENSIVE DINING,FSR - MISC,FALSE,TRUE,21664
501698848,SALES REP,9/30/2024,8/16/2024,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,66946
500478770,SALES REP,12/27/2017,11/13/2017,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,FALSE,67952
600080939,SALES REP,2/29/2016,4/29/2015,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,FALSE,42728
600080380,SALES REP,3/2/2016,9/27/2011,EVENT,ACTIVITIES,GAME CENTER,TRUE,FALSE,67110
600080610,SALES REP,3/21/2016,4/16/2013,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,41605
600080545,SALES REP,3/11/2016,10/11/2012,GOODS,SPECIALIZED GOODS,OTHER GOODS,TRUE,FALSE,21034
600079939,SALES REP,3/2/2016,9/14/2005,WELLNESS,HEALTHCARE,OTHER HEALTHCARE,TRUE,TRUE,1742
501570309,SALES REP,11/17/2023,10/11/2023,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,66946
501556470,MYCOKE LEGACY,1/2/2024,8/28/2023,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,FALSE,21664
500985036,SALES REP,8/27/2019,8/13/2019,DINING,COMPREHENSIVE DINING,FSR - MISC,FALSE,FALSE,67952
600080581,SALES REP,3/3/2016,2/7/2013,DINING,COMPREHENSIVE DINING,FSR - MISC,FALSE,FALSE,20643
501269528,SALES REP,12/15/2021,10/6/2021,DINING,FAST CASUAL DINING,OTHER FAST FOOD,TRUE,FALSE,1509
600080099,OTHER,3/16/2016,9/10/2007,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,2664
501508023,SALES REP,9/1/2023,4/12/2023,EVENT,RECREATION,RECREATION ARENA,FALSE,TRUE,40122
600081076,OTHER,3/18/2016,11/4/2009,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,1757
500956769,SALES REP,6/21/2019,6/18/2019,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,1109
501196953,SALES REP,3/24/2021,3/17/2021,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,2112
600080447,SALES REP,5/19/2016,5/2/2012,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,67952
501569064,OTHER,11/30/2023,10/5/2023,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,21020
501536962,EDI,8/14/2023,7/7/2023,GOODS,GENERAL RETAILER,HOME & HARDWARE,TRUE,FALSE,21034
600075756,SALES REP,3/2/2016,3/31/2015,EVENT,ACTIVITIES,GAME CENTER,FALSE,FALSE,1083
500837818,SALES REP,1/15/2019,1/3/2019,BULK TRADE,GENERAL,COMPREHENSIVE PROVIDER,TRUE,FALSE,1532
501639972,SALES REP,6/5/2024,4/5/2024,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,1436
500891746,SALES REP,7/29/2019,3/8/2019,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,FALSE,66757
501117605,SALES REP,8/27/2020,8/21/2020,BULK TRADE,GENERAL,COMPREHENSIVE PROVIDER,TRUE,FALSE,21555
501416822,SALES REP,8/12/2022,8/8/2022,EVENT,RECREATION,OTHER RECREATION,TRUE,FALSE,41612
501564274,SALES REP,9/28/2023,9/20/2023,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,40423
501329534,SALES REP,3/8/2022,1/19/2022,DINING,FAST CASUAL DINING,ASIAN FAST FOOD,TRUE,TRUE,21793
600082396,SALES REP,3/1/2016,8/31/2010,PUBLIC SECTOR,PUBLIC SECTOR (NON-MILITARY),OTHER PUBLIC SECTOR,TRUE,FALSE,21555
501376008,SALES REP,7/11/2022,4/28/2022,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,2495
600082871,SALES REP,3/18/2016,9/16/2014,DINING,COMPREHENSIVE DINING,FSR - MISC,FALSE,FALSE,21505
501438939,SALES REP,11/4/2022,10/5/2022,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,66757
501662652,MYCOKE360,6/28/2024,6/5/2024,WELLNESS,HEALTHCARE,OTHER HEALTHCARE,TRUE,FALSE,2638
600076047,SALES REP,3/11/2016,4/7/2005,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,FALSE,1436
600075758,SALES REP,3/15/2016,2/1/1984,DINING,FAST CASUAL DINING,BURGER FAST FOOD,TRUE,TRUE,2638
600075648,SALES REP,9/30/2016,10/5/2009,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,2638
600076077,SALES REP,3/4/2016,4/4/2007,ACCOMMODATION,ACCOMMODATION,OTHER ACCOMMODATION,TRUE,FALSE,1349
600076006,SALES REP,3/2/2016,10/1/2002,DINING,FAST CASUAL DINING,MEXICAN FAST FOOD,TRUE,TRUE,1801
501474899,SALES REP,1/20/2023,12/28/2022,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,42565
501536377,SALES REP,7/14/2023,7/6/2023,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,1349
600082957,SALES REP,3/2/2016,5/28/2015,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,42033
500948784,SALES REP,6/13/2019,6/6/2019,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,42033
501225761,SALES REP,6/25/2021,6/9/2021,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,FALSE,66757
501483652,SALES REP,3/1/2023,1/27/2023,WELLNESS,HEALTHCARE,OTHER HEALTHCARE,TRUE,TRUE,42033
501201966,SALES REP,4/9/2021,3/31/2021,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,FALSE,67649
500959384,SALES REP,7/5/2019,6/25/2019,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,41612
500311212,SALES REP,10/31/2016,10/28/2016,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,1203
501111906,SALES REP,8/10/2020,8/3/2020,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,42701
501430843,SALES REP,9/22/2022,9/8/2022,DINING,FAST CASUAL DINING,MEXICAN FAST FOOD,TRUE,FALSE,21044
501654912,SALES REP,7/8/2024,5/10/2024,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,FALSE,40423
501474769,MYCOKE360,3/10/2023,12/28/2022,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,21754
501236147,SALES REP,7/29/2021,7/13/2021,PUBLIC SECTOR,EDUCATION,NON-RESTAURANT EDUCATION,TRUE,TRUE,40423
501498257,SALES REP,4/24/2023,3/13/2023,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,41095
600082093,SALES REP,3/4/2016,1/20/2006,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,42754
500462937,SALES REP,10/25/2017,10/10/2017,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,1778
600082662,CALL CENTER,3/31/2016,4/15/2013,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,21754
501357982,SALES REP,5/11/2022,3/7/2022,BULK TRADE,GENERAL,COMPREHENSIVE PROVIDER,TRUE,FALSE,42033
600081602,SALES REP,3/1/2016,1/15/2004,PUBLIC SECTOR,PUBLIC SECTOR (NON-MILITARY),OTHER PUBLIC SECTOR,TRUE,FALSE,21754
501494044,MYCOKE360,5/19/2023,2/28/2023,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,40110
600076433,SALES REP,3/1/2016,3/7/2012,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,67647
600076574,SALES REP,3/10/2016,11/11/2014,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,41010
501168760,SALES REP,3/3/2021,1/4/2021,EVENT,ACTIVITIES,GAME CENTER,TRUE,TRUE,1151
501442896,SALES REP,11/4/2022,10/18/2022,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,67521
501514669,SALES REP,5/8/2023,5/3/2023,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,67647
500838536,SALES REP,1/10/2019,1/4/2019,BULK TRADE,GENERAL,COMPREHENSIVE PROVIDER,TRUE,FALSE,21029
500948552,SALES REP,6/7/2019,6/5/2019,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,67521
501537529,SALES REP,7/19/2023,7/11/2023,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,2071
501516826,SALES REP,6/16/2023,5/8/2023,GOODS,GENERAL RETAILER,HOME & HARDWARE,TRUE,TRUE,21234
500816639,SALES REP,1/29/2019,11/12/2018,DINING,FAST CASUAL DINING,ASIAN FAST FOOD,FALSE,FALSE,21754
501563857,SALES REP,9/29/2023,9/19/2023,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,21869
500732072,SALES REP,9/27/2018,8/16/2018,DINING,COMPREHENSIVE DINING,FSR - MISC,FALSE,TRUE,67649
500890847,SALES REP,3/13/2019,3/6/2019,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,FALSE,1778
500826931,OTHER,1/10/2019,12/5/2018,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,42033
501401569,SALES REP,7/18/2022,6/24/2022,DINING,FAST CASUAL DINING,OTHER FAST FOOD,FALSE,TRUE,20794
600082584,SALES REP,3/8/2016,11/13/2012,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,21555
500938688,SALES REP,5/31/2019,5/16/2019,DINING,COMPREHENSIVE DINING,FSR - MISC,FALSE,FALSE,21793
501389110,SALES REP,11/9/2022,6/2/2022,DINING,FAST CASUAL DINING,MEXICAN FAST FOOD,TRUE,FALSE,41612
501644837,SALES REP,4/26/2024,4/23/2024,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,1093
501217674,SALES REP,6/7/2021,5/20/2021,PUBLIC SECTOR,EDUCATION,NON-RESTAURANT EDUCATION,TRUE,FALSE,21793
600082682,MYCOKE360,4/14/2016,4/23/2013,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,21754
501601425,SALES REP,3/1/2024,1/26/2024,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,FALSE,1013
600081600,SALES REP,2/29/2016,12/23/2003,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,42701
600082247,SALES REP,3/16/2016,11/4/2008,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,FALSE,66757
600082062,SALES REP,4/27/2016,6/17/1999,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,FALSE,TRUE,42033
501083370,SALES REP,5/13/2020,4/28/2020,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,20794
500823004,MYCOKE LEGACY,1/31/2019,11/23/2018,DINING,FAST CASUAL DINING,ASIAN FAST FOOD,FALSE,FALSE,40423
501296686,SALES REP,12/1/2021,11/15/2021,PUBLIC SECTOR,EDUCATION,NON-RESTAURANT EDUCATION,TRUE,FALSE,41612
501231400,MYCOKE360,7/12/2021,6/25/2021,EVENT,RECREATION,OTHER RECREATION,TRUE,FALSE,67031
600082234,OTHER,3/10/2016,9/15/2008,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,2303
600082347,SALES REP,3/3/2016,5/3/2010,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,66757
600081664,SALES REP,3/4/2016,4/8/2003,GOODS,GENERAL RETAILER,HOME & HARDWARE,TRUE,FALSE,1203
500874548,SALES REP,3/19/2019,2/22/2019,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,67647
600076435,SALES REP,3/1/2016,4/11/2012,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,67647
501359069,SALES REP,4/4/2022,3/10/2022,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,1949
500279264,SALES REP,4/26/2016,4/15/2016,DINING,COMPREHENSIVE DINING,FSR - MISC,FALSE,FALSE,67647
600076476,SALES REP,3/1/2016,11/5/2012,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,FALSE,TRUE,70784
501632949,SALES REP,3/29/2024,3/14/2024,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,TRUE,40110
600076567,SALES REP,3/2/2016,6/16/2014,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,TRUE,67647
600076759,SALES REP,3/3/2016,12/1/1991,WORKPLACE,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,TRUE,FALSE,41010
600076407,OTHER,3/10/2016,9/20/2010,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,67647
